target,route,viewport,src,alt,href,naturalWidth,naturalHeight,assetShape,assetRatio,renderedWidth,renderedHeight,slotShape,slotRatio,objectFit,mismatch,action
baseworldz,/,desktop,/assets/mobile/baseworldz.webp,BaseWorldz official identity,http://127.0.0.1:33743/,1536,1536,square,1,54,54,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/desktop/blockchains/baseworldz.png,BaseWorldz approved desktop and mobile production artwork,,1536,512,banner,3,1438,479,banner,3.002,contain,false,KEEP
baseworldz,/,desktop,/assets/mobile/solworldz.webp,SolWorldz official approved profile artwork,https://solworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/mobile/ethworldz.webp,EthWorldz official approved profile artwork,https://ethworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/mobile/baseworldz.webp,BaseWorldz current World identity,https://baseworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/mobile/bnbworldz.webp,BNBWorldz official approved profile artwork,https://bnbworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/mobile/xrpworldz.webp,XRPWorldz official approved profile artwork,https://xrpworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/mobile/suiworldz.webp,SuiWorldz official approved profile artwork,https://suiworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/mobile/hyperworldz.webp,HyperWorldz official approved profile artwork,https://hyperworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/mobile/robinworldz.webp,RobinWorldz official approved profile artwork,https://robinworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/mobile/next-big-coin.webp,HodlerWorldz education recognition and rewards identity,https://hodlerworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/desktop/cryptoworldz/command-centre-five.png,Command Centre Ultimate five protected system roles,,1536,1024,landscape,1.5,605,403,landscape,1.501,contain,false,KEEP
baseworldz,/,desktop,/assets/desktop/cryptoworldz/cryptoworldz-basedbid.webp,Approved LaunchPad and Based.bid partnership artwork,,1536,1024,landscape,1.5,605,403,landscape,1.501,contain,false,KEEP
baseworldz,/,desktop,/assets/desktop/cryptoworldz/impactbased.png,Approved ImpactBased production artwork,,1536,1536,square,1,605,605,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/support/desktop/reagan-children-emblem-desktop.webp,Reagan and Children support emblem,https://cryptoworldz.xyz/support/reagan-children/,1254,1254,square,1,158,158,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/support/desktop/community-impact-emblem-desktop.webp,OneWorldz Community Impact emblem,https://cryptoworldz.xyz/support/community-impact/,1254,1254,square,1,158,158,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/support/desktop/jayjayteamdev-emblem-desktop.webp,JayJayTeamDev Helping Hands emblem,https://cryptoworldz.xyz/support/jayjayteamdev/,1254,1254,square,1,158,158,square,1,contain,false,KEEP
baseworldz,/,desktop,/assets/desktop/purple-diamond-crew/banner.png,Approved Purple Diamond Crew production artwork,,1536,512,banner,3,605,202,banner,2.995,contain,false,KEEP
